,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"10,650","150","1.4","10,550","10,800","10,500","197,794","2,103,299,750","297,470,155,500","0.02","27,931,470"
,000030,우리은행,"16,850","400","2.4","16,600","16,850","16,500","1,234,555","20,643,982,900","11,390,600,000,000","0.60","676,000,000"
,000040,KR모터스,"557","7","1.3","550","566","550","333,401","186,844,813","66,706,134,519","0.00","119,759,667"
,000050,경방,"15,550","150","1.0","15,400","15,650","15,250","26,686","412,887,000","426,307,448,500","0.02","27,415,270"
,000060,메리츠화재,"23,550","-300","-1.3","23,950","23,950","23,300","148,278","3,469,830,450","2,598,459,900,000","0.14","110,338,000"
,000070,삼양홀딩스,"114,500","3,500","3.2","112,000","116,500","111,500","20,536","2,356,761,500","980,609,029,500","0.05","8,564,271"
,000075,삼양홀딩스우,"57,000","500","0.9","55,500","57,000","55,500","680","38,098,900","17,331,306,000","0.00","304,058"
,000080,하이트진로,"21,950","150","0.7","22,000","22,000","21,700","113,413","2,478,532,350","1,539,432,761,450","0.08","70,133,611"
,000087,하이트진로2우B,"17,350","0","0.0","17,350","17,350","17,050","4,571","78,830,350","19,607,894,300","0.00","1,130,138"
,000100,유한양행,"219,500","4,500","2.1","213,500","220,000","213,500","37,233","8,084,863,000","2,679,953,203,000","0.14","12,209,354"
,000105,유한양행우,"192,500","-500","-0.3","192,500","192,500","192,500","22","4,235,000","45,466,190,000","0.00","236,188"
,000120,CJ대한통운,"131,000","2,000","1.6","130,000","131,500","129,000","37,931","4,922,612,500","2,988,417,064,000","0.16","22,812,344"
,000140,하이트진로홀딩스,"9,570","-130","-1.3","9,690","9,780","9,460","45,984","438,700,070","222,088,741,050","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,420","0","0.0","9,420","9,420","9,420","210","1,978,200","4,435,030,200","0.00","470,810"
,000150,두산,"106,000","1,500","1.4","105,500","107,000","105,000","26,846","2,841,634,000","2,034,988,318,000","0.11","19,198,003"
,000155,두산우,"72,000","200","0.3","71,800","72,300","71,500","1,232","88,670,500","317,597,328,000","0.02","4,411,074"
,000157,두산2우B,"72,000","300","0.4","71,700","72,800","71,400","19","1,368,500","70,969,320,000","0.00","985,685"
,000180,성창기업지주,"2,800","-10","-0.4","2,815","2,850","2,795","133,366","374,766,640","195,304,480,000","0.01","69,751,600"
,000210,대림산업,"75,500","1,800","2.4","74,500","76,200","74,300","146,259","11,055,810,400","2,627,400,000,000","0.14","34,800,000"
,000215,대림산업우,"29,900","250","0.8","29,900","30,500","29,750","7,609","227,801,150","113,620,000,000","0.01","3,800,000"
,000220,유유제약,"13,850","100","0.7","13,750","14,050","13,450","218,500","3,008,599,350","88,204,929,950","0.00","6,368,587"
,000225,유유제약1우,"7,220","-50","-0.7","7,340","7,340","7,170","6,492","46,957,240","8,183,617,300","0.00","1,133,465"
,000227,유유제약2우B,"18,950","150","0.8","18,800","18,950","18,400","1,105","20,593,800","3,109,316,000","0.00","164,080"
