No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,32.31B,47.98,106.17,-0.56%,"830,776"
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2.44B,-,13.47,-1.39%,"5,296,914"
3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,18.97,-0.05%,"274,269"
4,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,38.40M,-,1.23,-2.38%,"23,361"
5,AACQ,Artius Acquisition Inc.,Financial,Shell Companies,USA,703.49M,-,9.71,-0.72%,"160,387"
6,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,56.32,0.22%,"4,277"
7,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,6.29B,-,12.6,-4.18%,"90,362,833"
8,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,37.60M,-,23.5,-1.05%,"3,388"
9,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,45.00M,-,2.25,2.74%,"7,422"
10,AAN,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.94B,-,58.38,-0.56%,"242,740"
11,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,236.66M,-,10.17,-2.12%,"668,729"
12,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.24B,46.97,61.86,1.03%,"87,809"
13,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.87B,23.82,154.72,1.17%,"340,645"
14,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,1995.41B,34.98,115.04,-0.61%,"81,997,197"
15,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.49B,31.98,24.37,0.12%,"120,153"
16,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,112.24M,-,0.94,-0.87%,"294,804"
17,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.67B,-,62.99,-1.19%,"377,475"
18,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,80.79,0.59%,"620,980"
19,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,6.34B,-,102.91,-0.70%,"578,545"
20,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,3.06B,11.79,31.55,-1.90%,"715,344"
21,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,56.06B,39.29,26.13,-2.32%,"1,942,194"
22,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,147.05B,18.55,84.34,0.04%,"4,224,967"
23,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,20.25B,13.13,99.38,0.67%,"537,883"
24,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,2.03B,15.11,29.14,0.10%,"761,287"
25,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,111.97M,-,1.34,5.51%,"1,131,214"
26,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,23.84,0.16%,"6,277"
27,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,39.49B,14.26,2.51,2.45%,"25,355,580"
28,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,2.34B,14.53,118.94,-0.84%,"74,818"
29,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,24.46M,-,4.03,-1.71%,"151,751"
30,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.40B,-,35.67,2.06%,"389,291"
31,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,12.55B,80.89,281.42,1.05%,"202,751"
32,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,1.37B,24.22,11.89,2.94%,"1,112,463"
33,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,186.76B,62.34,107.79,-1.54%,"3,392,444"
34,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,571.04M,14.78,27.91,1.60%,"25,374"
35,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,235.33M,-,2.89,-0.69%,"825,832"
36,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,782.58M,-,34.89,0.55%,"7,956"
37,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.32B,19.80,48.13,-1.47%,"237,167"
38,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,6.87B,-,43.17,2.23%,"920,955"
39,ACAM,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,388.47M,185.09,10.18,0.10%,"2,215,455"
40,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,568.76M,21.67,4.68,-3.51%,"7,083,627"
41,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,312.62M,17.68,14.83,5.40%,"95,159"
42,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,5.25B,47.44,37.76,1.26%,"586,148"
43,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2.09B,-,42.01,9.46%,"895,683"
44,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,613.93M,7.45,6.44,-1.38%,"837,314"
45,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,985.89M,-,10.77,-0.65%,"87,804"
46,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,32.69M,-,2.78,1.09%,"38,460"
47,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,58.14,0.05%,"61,908"
48,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,236.06M,-,12.49,-2.88%,"74,948"
49,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,223.33M,-,9.71,0.00%,75
50,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.0,0.00%,320
51,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,12.93B,11.70,31.81,0.41%,"884,681"
52,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.97B,-,5.81,3.20%,"42,004"
53,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,2.83B,25.99,31.19,0.26%,"485,257"
54,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,31.36M,-,8.86,-1.34%,"21,810"
55,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,7.12B,5.93,14.83,0.88%,"1,967,785"
56,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.84B,48.51,67.29,-0.18%,"109,126"
57,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,26.91,0.31%,"7,750"
58,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,353.59M,-,4.99,4.61%,"221,382"
59,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.68B,49.83,32.14,1.87%,"511,027"
60,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,787.05M,22.39,23.04,-1.03%,"124,314"
61,ACM,AECOM,Industrials,Engineering & Construction,USA,7.38B,-,46.38,0.50%,"1,095,220"
62,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.23B,94.01,67.97,1.54%,"126,330"
63,ACN,Accenture plc,Technology,Information Technology Services,Ireland,145.32B,28.98,229.7,0.68%,"1,185,359"
64,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,200.03M,10.42,22.25,0.23%,"8,445"
65,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,41.32M,-,0.84,-4.29%,"3,459,055"
66,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,168.05M,-,9.64,0.00%,"41,811"
67,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,322.92M,23.52,9.36,1.63%,"126,759"
68,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,168.82M,-,4.3,1.18%,"101,139"
69,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,141.26M,-,1.76,-4.86%,"1,255,835"
70,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Financial,Exchange Traded Fund,USA,-,-,28.14,0.00%,0
71,ACSI,American Customer Satisfaction ETF,Financial,Exchange Traded Fund,USA,-,-,39.55,0.86%,51
72,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,20.05M,-,0.21,3.24%,"1,466,336"
73,ACT,AdvisorShares Vice ETF,Financial,Exchange Traded Fund,USA,-,-,28.16,2.41%,"3,537"
74,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA,168.64M,-,3.35,-0.30%,"61,203"
75,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA,90.32M,14.57,27.2,-1.86%,"11,761"
76,ACV,AllianzGI Diversified Income & Convertible Fund,Financial,Asset Management,USA,276.97M,-,26.75,0.26%,"20,774"
77,ACWF,iShares MSCI Global Multifactor ETF,Financial,Exchange Traded Fund,USA,-,-,30.73,0.03%,"6,659"
78,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,82.44,0.43%,"1,409,501"
79,ACWV,iShares Edge MSCI Min Vol Global ETF,Financial,Exchange Traded Fund,USA,-,-,93.26,0.44%,"182,176"
80,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,47.3,0.51%,"2,378,097"
81,ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USA,3.11M,-,2.1,-11.39%,"219,353"
82,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,929.42M,-,4.8,11.63%,"3,779,222"
83,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,233.57B,61.50,488.5,1.01%,"1,778,375"
84,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA,3.55B,33.65,65.42,0.05%,"393,875"
85,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,2.11B,-,27.51,-0.69%,"62,473"
86,ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA,82.21M,-,4.42,0.00%,"118,706"
87,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,46.03B,41.57,124.2,-0.44%,"2,303,213"
88,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,25.56M,-,1.8,-6.74%,"826,126"
89,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,28.91B,16.13,51.87,0.37%,"2,002,176"
90,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,200.32M,-,2.25,-1.75%,"1,514,620"
91,ADME,Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,34.26,0.29%,"6,029"
92,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,73.25M,-,0.79,-2.36%,"1,572,974"
93,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,104.51M,-,3.55,-3.53%,"168,483"
94,ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland,2.24B,-,24.1,2.21%,"2,429,828"
95,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,63.69B,26.25,149.2,0.24%,"1,082,473"
96,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,6.69B,-,49.5,5.48%,"655,389"
97,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,50.38,0.43%,"5,342"
98,ADS,Alliance Data Systems Corporation,Financial,Credit Services,USA,2.22B,8.09,48.61,-1.96%,"967,355"
99,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,54.08B,151.89,254.42,0.66%,"640,455"
100,ADSW,"Advanced Disposal Services, Inc.",Industrials,Waste Management,USA,2.75B,15145.00,30.29,0.07%,"1,625,532"
101,ADT,ADT Inc.,Industrials,Security & Protection Services,USA,5.81B,-,7.47,1.08%,"1,888,664"
102,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,607.59M,-,12.42,1.06%,"193,007"
103,ADTX,"ADiTx Therapeutics, Inc.",Healthcare,Biotechnology,USA,18.59M,-,2.21,-3.07%,"716,935"
104,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.60B,50.89,101.16,-2.67%,"62,382"
105,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,1.15B,-,12.36,0.57%,"637,352"
